Date,bond10,bond10pct,bond10std,bond5,bond5pct,bond5std,bond3,bond3pct,bond3std,commodity,commoditypct,commoditystd,SP500,SP500pct,SP500std,VIX,VIXpct,VIXstd,log_SP500,log_return_SP500,log_VIX,log_return_VIX,log_commodity,log_return_commodity,yield_diff
2022-03-20,2.415,0.1219,0.128780994,2.4287,0.1317,0.185630728,0.5379999999999999,0.2995,0.103429471,755.9546,0.0418,62.17507125,4511.61,0.0109,119.60378429999999,20.809998999999998,-0.128194465,3.434466713,8.41440935327186,,3.0354335923517217,,6.6279813214662315,,1.8770000000000002
2022-03-13,2.153,0.0781,0.09732014800000001,2.1461,0.1008,0.152708738,0.414,0.0455,0.111390255,725.6060000000001,-0.0206,63.88342028,4463.09,0.0616,145.62947690000001,23.870001000000002,-0.223739805,3.7789732160000002,8.403596630233695,-0.010812723038165828,3.172622482244328,0.13718888989260636,6.587007167785482,-0.0409741536807493,1.739
2022-03-06,1.9969999999999999,0.1494,0.133849169,1.9496,0.1837,0.186072353,0.396,0.1821,0.118566437,740.8351,-0.0542,61.02792425,4204.31,-0.0288,154.61276730000003,30.75,-0.038461537999999997,4.499334322,8.343865468574142,-0.05973116165955261,3.4258899942525267,0.25326751200819864,6.607778063419019,0.020770895633536846,1.601
2022-02-27,1.7369999999999999,-0.1182,0.166587848,1.6469999999999998,-0.1193,0.22544846899999998,0.335,-0.0374,0.121691961,783.317,0.2003,35.7108304,4328.87,-0.0127,159.0397161,31.98,0.15911562199999998,5.020309555,8.373061816961041,0.029196348386898663,3.4651107074058083,0.03922071315328157,6.6635374671888785,0.05575940376985944,1.402
2022-02-20,1.97,0.0226,0.190270246,1.8701,0.0282,0.24092543800000002,0.348,-0.0279,0.11846279300000001,652.6157,0.013999999999999999,38.57578473,4384.62,0.0082,152.1980909,27.59,-0.005765765999999999,4.79396685,8.385858241986176,0.012796425025134894,3.3174533882291946,-0.14765731917661373,6.480988441485532,-0.18254902570334686,1.6219999999999999
2022-02-13,1.9269999999999998,0.0045,0.190568856,1.8188,-0.0075,0.234275837,0.358,-0.0402,0.10296407099999999,643.5969,0.0008,38.70017505,4348.87,-0.0158,140.4098968,27.75,0.014254349,4.605384074,8.377671320221687,-0.008186921764488986,3.3232358401924436,0.005782451963249002,6.4670725984503195,-0.013915843035212205,1.569
2022-02-06,1.9180000000000001,0.0013,0.19647380399999997,1.8325,0.0334,0.220194683,0.373,0.5672,0.067189946,643.0807,0.0001,38.50344325,4418.64,-0.0182,128.65650559999997,27.360001,0.178294667,4.445444281,8.39358723541706,0.015915915195373387,3.309082129304057,-0.014153710888386684,6.466270221805705,-0.0008023766446143554,1.5450000000000002
2022-01-30,1.916,0.0772,0.172001163,1.7732,0.094,0.190313287,0.23800000000000002,0.2526,0.05227162,643.0133,0.0365,32.36720236,4500.54,0.0155,123.64760509999999,23.219998999999998,-0.160520644,4.976429931,8.411952668558987,0.018365433141926957,3.145013933203422,-0.16406819610063472,6.4661654083160816,-0.00010481348962354531,1.678
2022-01-23,1.778,0.0045,0.157951329,1.6208,0.031,0.167552891,0.19,0.1176,0.040805773,620.3488,0.0188,26.53055534,4431.85,0.0077,108.0445551,27.66,-0.041247834,5.356309953,8.39657238308903,-0.0153802854699574,3.319987326236612,0.17497339303319004,6.430281900495134,-0.03588350782094718,1.588
2022-01-16,1.77,-0.0125,0.14018147,1.5721,0.0081,0.140949753,0.17,0.3178,0.025845911000000003,608.8819,0.0203,22.01662686,4397.93,-0.0568,67.12948917,28.85,0.503387102,5.284329651,8.388889254662438,-0.007683128426592134,3.3621099929541085,0.042122666717496315,6.411624324437778,-0.01865757605735663,1.6
2022-01-09,1.7930000000000001,0.0156,0.110146367,1.5594,0.0371,0.11601251900000001,0.129,0.3437,0.014794894,596.7587,0.0322,19.33511766,4662.85,-0.003,67.73640693,19.190001000000002,0.022921162000000002,4.94207303,8.44738212815881,0.05849287349637322,2.9543893621300814,-0.4077206308240271,6.391512844082085,-0.02011148035569299,1.6640000000000001
2022-01-02,1.765,0.1678,0.067807243,1.5036,0.1905,0.062346705,0.096,0.8113,0.007130529,578.1148,0.0302,20.74669324,4677.02,-0.0187,70.78442727,18.76,0.089430958,5.104960834,8.4504164339622,0.003034305803389259,2.9317269435780786,-0.022662418552002794,6.3597724648678025,-0.0317403792142823,1.6689999999999998
2021-12-26,1.5119999999999998,0.0129,0.083045904,1.263,0.0158,0.057514355,0.053,-0.2535,0.007302967,561.1805,0.0051,23.05136617,4766.18,0.0085,69.92297817,17.219998999999998,-0.041202675,5.254158422,8.469300424465446,0.018883990503246295,2.846071440927574,-0.08565550265050481,6.330042600653839,-0.029729864213963175,1.4589999999999999
