Date,bond10,bond10pct,bond10std,bond5,bond5pct,bond5std,bond3,bond3pct,bond3std,commodity,commoditypct,commoditystd,SP500,SP500pct,SP500std,VIX,VIXpct,VIXstd
3/20/2022,2.415,0.1219,0.128780994,2.4287,0.1317,0.185630728,0.538,0.2995,0.103429471,755.9546,0.0418,62.17507125,4511.61,0.0109,119.6037843,20.809999,-0.128194465,3.434466713
3/13/2022,2.153,0.0781,0.097320148,2.1461,0.1008,0.152708738,0.414,0.0455,0.111390255,725.606,-0.0206,63.88342028,4463.09,0.0616,145.6294769,23.870001,-0.223739805,3.778973216
3/6/2022,1.997,0.1494,0.133849169,1.9496,0.1837,0.186072353,0.396,0.1821,0.118566437,740.8351,-0.0542,61.02792425,4204.31,-0.0288,154.6127673,30.75,-0.038461538,4.499334322
2/27/2022,1.737,-0.1182,0.166587848,1.647,-0.1193,0.225448469,0.335,-0.0374,0.121691961,783.317,0.2003,35.7108304,4328.87,-0.0127,159.0397161,31.98,0.159115622,5.020309555
2/20/2022,1.97,0.0226,0.190270246,1.8701,0.0282,0.240925438,0.348,-0.0279,0.118462793,652.6157,0.014,38.57578473,4384.62,0.0082,152.1980909,27.59,-0.005765766,4.79396685
2/13/2022,1.927,0.0045,0.190568856,1.8188,-0.0075,0.234275837,0.358,-0.0402,0.102964071,643.5969,0.0008,38.70017505,4348.87,-0.0158,140.4098968,27.75,0.014254349,4.605384074
2/6/2022,1.918,0.0013,0.196473804,1.8325,0.0334,0.220194683,0.373,0.5672,0.067189946,643.0807,0.0001,38.50344325,4418.64,-0.0182,128.6565056,27.360001,0.178294667,4.445444281
1/30/2022,1.916,0.0772,0.172001163,1.7732,0.094,0.190313287,0.238,0.2526,0.05227162,643.0133,0.0365,32.36720236,4500.54,0.0155,123.6476051,23.219999,-0.160520644,4.976429931
1/23/2022,1.778,0.0045,0.157951329,1.6208,0.031,0.167552891,0.19,0.1176,0.040805773,620.3488,0.0188,26.53055534,4431.85,0.0077,108.0445551,27.66,-0.041247834,5.356309953
1/16/2022,1.77,-0.0125,0.14018147,1.5721,0.0081,0.140949753,0.17,0.3178,0.025845911,608.8819,0.0203,22.01662686,4397.93,-0.0568,67.12948917,28.85,0.503387102,5.284329651
1/9/2022,1.793,0.0156,0.110146367,1.5594,0.0371,0.116012519,0.129,0.3437,0.014794894,596.7587,0.0322,19.33511766,4662.85,-0.003,67.73640693,19.190001,0.022921162,4.94207303
1/2/2022,1.765,0.1678,0.067807243,1.5036,0.1905,0.062346705,0.096,0.8113,0.007130529,578.1148,0.0302,20.74669324,4677.02,-0.0187,70.78442727,18.76,0.089430958,5.104960834
12/26/2021,1.512,0.0129,0.083045904,1.263,0.0158,0.057514355,0.053,-0.2535,0.007302967,561.1805,0.0051,23.05136617,4766.18,0.0085,69.92297817,17.219999,-0.041202675,5.254158422
12/19/2021,1.493,0.0607,0.08626194,1.2434,0.0553,0.056884116,0.071,0.3922,0.005437524,558.3459,0.0334,24.91248503,4725.78,0.0228,81.39865314,17.959999,-0.167362123,5.394334181
12/12/2021,1.407,-0.0505,0.084109453,1.1782,-0.0549,0.068073458,0.051,-0.1905,0.005437524,540.2867,-0.0074,23.58486414,4620.64,-0.0194,108.0523093,21.57,0.154093036,5.488397614
12/5/2021,1.482,0.0926,0.085301361,1.2467,0.0936,0.093674806,0.063,0.1887,0.006356099,544.3262,0.0365,22.21195925,4712.02,0.0382,122.2200963,18.690001,-0.390609684,5.460665165
11/28/2021,1.356,-0.0845,0.0674583,1.14,-0.0251,0.109825988,0.053,0,0.008099383,525.1532,-0.0274,17.56115699,4538.43,-0.0122,126.4485483,30.67,0.071628195,5.472054537
11/21/2021,1.482,-0.0428,0.085961813,1.1693,-0.0439,0.132685628,0.053,0.0392,0.008723531,539.9278,-0.048,17.78493643,4594.62,-0.022,130.3595878,28.620001,0.597990006,3.921509208
11/14/2021,1.548,-0.014,0.102440443,1.223,-0.0037,0.146081919,0.051,-0.0377,0.008656404,567.1327,-0.0216,22.0432049,4697.96,0.0032,118.2594904,17.91,0.099447446,1.974436453
11/7/2021,1.57,0.0791,0.113298034,1.2276,0.1631,0.15002369,0.053,0.1522,0.008451824,579.6247,-0.0011,24.49017709,4682.85,-0.0031,102.4098821,16.290001,-0.011529066,2.226582839
10/31/2021,1.455,-0.068,0.125348625,1.0555,-0.1091,0.160084922,0.046,-0.2069,0.008656404,580.2639,-0.0135,26.0321965,4697.53,0.02,74.56568118,16.48,0.013530135,2.216559991
10/24/2021,1.561,-0.0469,0.136065711,1.1848,-0.0132,0.1504922,0.058,-0.0492,0.008116513,588.2094,-0.0031,30.78806602,4605.38,0.0133,59.49992773,16.26,0.053791316,2.22370604
10/17/2021,1.638,0.0406,0.122536344,1.2006,0.0682,0.123271165,0.061,0.2708,0.006896859,590.0573,-0.0028,28.05787646,4544.9,0.0164,51.74630164,15.43,-0.053374175,2.139122802
10/10/2021,1.574,-0.0236,0.108417147,1.1239,0.064,0.095446516,0.048,-0.0588,0.007042727,591.7259,0.0257,22.76835211,4471.37,0.0182,51.47940241,16.299999,-0.131593021,2.136203727
10/3/2021,1.612,0.1002,0.077616507,1.0563,0.1363,0.076809247,0.051,0.3421,0.006871034,576.8771,0.0266,17.95751466,4391.36,0.0079,51.00983113,18.77,-0.11042654,2.151878851
9/26/2021,1.465,0.0085,0.063312716,0.9296,-0.0199,0.071841613,0.038,0.0857,0.006380526,561.9096,0.0222,14.7340071,4357.05,-0.0221,42.22094609,21.1,0.188732394,2.143721922
9/19/2021,1.453,0.0655,0.040501852,0.9485,0.1009,0.047596611,0.035,-0.0789,0.004743416,549.7233,0.0202,12.93096419,4455.48,0.0051,58.32281235,17.75,-0.147044649,1.893869946
9/12/2021,1.363,0.0153,0.040155254,0.8616,0.0559,0.038012331,0.038,-0.2083,0.003162278,538.8525,0.014,12.42072258,4432.99,-0.0057,62.66175303,20.809999,-0.006682673,1.905089432
9/5/2021,1.343,0.0129,0.056984988,0.816,0.0391,0.045372797,0.048,0.0435,0.003093003,531.425,-0.0008,13.22004283,4458.58,-0.0169,67.12955253,20.950001,0.276660634,1.654951107
8/29/2021,1.326,0.0117,0.089266393,0.7853,-0.0197,0.065635258,0.046,-0.1321,0.002788867,531.873,0.0052,13.16757357,4535.43,0.0058,68.75771941,16.41,0.001220317,1.247005364
8/22/2021,1.31,0.0441,0.096006308,0.8011,0.0226,0.071189295,0.053,0,0.004104198,529.0991,0.0701,13.3604375,4509.37,0.0152,89.96895319,16.389999,-0.11691811,1.29909761
8/15/2021,1.255,-0.0221,0.096843287,0.7834,0.0091,0.073112614,0.053,0,0.007846443,494.4293,-0.0578,7.116523644,4441.67,-0.0059,92.49497461,18.559999,0.201294434,1.794063263
8/8/2021,1.283,-0.0168,0.110222805,0.7763,0.0028,0.073020682,0.053,0.0392,0.011343133,524.7447,0.0046,6.88551674,4468,0.0071,88.00135396,15.45,-0.043343653,1.77804204
8/1/2021,1.305,0.065,0.121093903,0.7741,0.1162,0.072743366,0.051,0.1087,0.01462722,522.3383,-0.0347,7.387788419,4436.52,0.0094,84.94808388,16.15,-0.114583333,1.717329027
7/25/2021,1.226,-0.0435,0.11696177,0.6935,-0.0279,0.063639042,0.046,-0.098,0.018144176,541.129,0.0162,9.84931639,4395.26,-0.0037,88.3073324,18.24,0.060465055,1.695743053
7/18/2021,1.281,-0.0146,0.111733264,0.7134,-0.0871,0.054378117,0.051,0.1087,0.019014614,532.4833,0.0082,10.40788802,4411.8,0.0196,78.75069936,17.200001,-0.067750674,1.937616215
7/11/2021,1.3,-0.0447,0.09182931,0.7815,-0.0065,0.054975869,0.046,-0.1321,0.019005555,528.1744,-0.0067,10.40339809,4327.16,-0.0097,74.09377848,18.450001,0.140296724,2.001602023
7/4/2021,1.361,-0.0485,0.078501309,0.7866,-0.0843,0.05467535,0.053,0.0392,0.017521098,531.7583,-0.0179,11.74495838,4369.55,0.004,60.57129141,16.18,0.073656271,1.974353699
6/27/2021,1.431,-0.0613,0.067451135,0.859,-0.0711,0.053238425,0.051,-0.0377,0.014942854,541.4566,0.0217,12.8270081,4352.34,0.0167,40.78230613,15.07,-0.035211268,1.983699254
6/20/2021,1.524,0.0561,0.066971055,0.9247,0.0554,0.039349353,0.053,0.2927,0.010154911,529.9653,0.0191,14.97941745,4280.7,0.0274,31.19025327,15.62,-0.245410664,1.803202204
6/13/2021,1.443,-0.0072,0.057952471,0.8762,0.1783,0.037529498,0.041,0.4643,0.006346478,520.0316,-0.0225,19.89284591,4166.45,-0.0191,36.86892344,20.700001,0.32268377,1.73310939
6/6/2021,1.454,-0.0664,0.041247896,0.7436,-0.0472,0.040875781,0.028,0.4,0.004981756,532.0251,-0.0032,20.84238862,4247.44,0.0041,61.08378717,15.65,-0.046894032,1.404035336
5/30/2021,1.557,-0.0151,0.04160876,0.7804,-0.01,0.039069569,0.02,0.5385,0.004981756,533.7398,0.0279,19.6161176,4229.89,0.0061,82.50199596,16.42,-0.020286396,1.274407764
5/23/2021,1.581,-0.0262,0.051511487,0.7883,-0.0401,0.038728091,0.013,1.6,0.005183746,519.2278,0.0253,19.05365258,4204.11,0.0116,106.606718,16.76,-0.168238213,1.277382636
5/16/2021,1.623,-0.0073,0.051463148,0.8212,0.0043,0.037930287,0.005,-0.5,0.00608131,506.4006,-0.0167,18.44185955,4155.86,-0.0043,118.0262817,20.15,0.07123876,1.570789279
5/9/2021,1.635,0.0357,0.054669207,0.8177,0.0563,0.039377637,0.01,-0.3333,0.008500725,514.9969,-0.0154,16.48191937,4173.85,-0.0139,137.8578077,18.809999,0.127022042,1.653632202
5/2/2021,1.579,-0.029,0.088754405,0.7741,-0.0885,0.049415123,0.015,0.1538,0.010608178,523.0299,0.034,11.62352773,4232.6,0.0123,143.5660199,16.690001,-0.103170333,2.631054696
4/25/2021,1.626,0.0426,0.123232436,0.8493,0.0403,0.096298977,0.013,-0.35,0.010538822,505.8542,0.0238,9.601983379,4181.17,0.0002,134.8679615,18.610001,0.073860415,3.782394426
